id,gx_id,ticker,ex_date,payable_date,dvd_amount,currency
3089,NULL,NA CN,2011-12-23 00:00:00.000,2012-02-01 00:00:00.000,0.375,CAD
3090,NULL,NA CN,2011-09-20 00:00:00.000,2011-11-01 00:00:00.000,0.355,CAD
3091,NULL,NA CN,2011-06-21 00:00:00.000,2011-08-01 00:00:00.000,0.355,CAD
3092,NULL,NA CN,2011-03-22 00:00:00.000,2011-05-01 00:00:00.000,0.33,CAD
3093,NULL,NA CN,2010-12-21 00:00:00.000,2011-02-01 00:00:00.000,0.33,CAD
3094,NULL,NA CN,2010-09-21 00:00:00.000,2010-11-01 00:00:00.000,0.31,CAD
3095,NULL,NA CN,2010-06-21 00:00:00.000,2010-08-01 00:00:00.000,0.31,CAD
3096,NULL,NA CN,2010-03-23 00:00:00.000,2010-05-01 00:00:00.000,0.31,CAD
3097,NULL,NA CN,2009-12-22 00:00:00.000,2010-02-01 00:00:00.000,0.31,CAD
3098,NULL,NA CN,2009-09-22 00:00:00.000,2009-11-01 00:00:00.000,0.31,CAD
3099,NULL,NA CN,2009-06-23 00:00:00.000,2009-08-01 00:00:00.000,0.31,CAD
3100,NULL,NA CN,2009-03-24 00:00:00.000,2009-05-01 00:00:00.000,0.31,CAD
3101,NULL,NA CN,2008-12-30 00:00:00.000,2009-02-01 00:00:00.000,0.31,CAD
3102,NULL,NA CN,2008-09-23 00:00:00.000,2008-11-01 00:00:00.000,0.31,CAD
3103,NULL,NA CN,2008-06-24 00:00:00.000,2008-08-01 00:00:00.000,0.31,CAD
3104,NULL,NA CN,2008-03-25 00:00:00.000,2008-05-01 00:00:00.000,0.31,CAD
3105,NULL,NA CN,2007-12-21 00:00:00.000,2008-02-01 00:00:00.000,0.31,CAD
3106,NULL,NA CN,2007-09-24 00:00:00.000,2007-11-01 00:00:00.000,0.3,CAD
3107,NULL,NA CN,2007-06-25 00:00:00.000,2007-08-01 00:00:00.000,0.3,CAD
3108,NULL,NA CN,2007-03-26 00:00:00.000,2007-05-01 00:00:00.000,0.27,CAD
3109,NULL,NA CN,2006-12-22 00:00:00.000,2007-02-01 00:00:00.000,0.27,CAD
3110,NULL,NA CN,2006-09-26 00:00:00.000,2006-11-01 00:00:00.000,0.25,CAD
3111,NULL,NA CN,2006-06-20 00:00:00.000,2006-08-01 00:00:00.000,0.25,CAD
3112,NULL,NA CN,2006-03-28 00:00:00.000,2006-05-01 00:00:00.000,0.24,CAD
3113,NULL,NA CN,2005-12-23 00:00:00.000,2006-02-01 00:00:00.000,0.24,CAD
3114,NULL,NA CN,2005-09-20 00:00:00.000,2005-11-01 00:00:00.000,0.22,CAD
3115,NULL,NA CN,2005-06-23 00:00:00.000,2005-08-01 00:00:00.000,0.22,CAD
3116,NULL,NA CN,2005-03-22 00:00:00.000,2005-05-01 00:00:00.000,0.21,CAD
3117,NULL,NA CN,2004-12-22 00:00:00.000,2005-02-01 00:00:00.000,0.21,CAD
3118,NULL,NA CN,2004-09-21 00:00:00.000,2004-11-01 00:00:00.000,0.19,CAD
3119,NULL,NA CN,2004-06-24 00:00:00.000,2004-08-01 00:00:00.000,0.19,CAD
3120,NULL,NA CN,2004-03-23 00:00:00.000,2004-05-01 00:00:00.000,0.165,CAD
3121,NULL,NA CN,2003-12-23 00:00:00.000,2004-02-01 00:00:00.000,0.165,CAD
3122,NULL,NA CN,2003-09-23 00:00:00.000,2003-11-01 00:00:00.000,0.14,CAD
3123,NULL,NA CN,2003-06-24 00:00:00.000,2003-08-01 00:00:00.000,0.14,CAD
3124,NULL,NA CN,2003-03-25 00:00:00.000,2003-05-01 00:00:00.000,0.13,CAD
3125,NULL,NA CN,2002-12-20 00:00:00.000,2003-02-01 00:00:00.000,0.13,CAD
3126,NULL,NA CN,2002-09-24 00:00:00.000,2002-11-01 00:00:00.000,0.12,CAD
3127,NULL,NA CN,2002-06-25 00:00:00.000,2002-08-01 00:00:00.000,0.12,CAD
3128,NULL,NA CN,2002-03-26 00:00:00.000,2002-05-01 00:00:00.000,0.12,CAD
3129,NULL,NA CN,2001-12-21 00:00:00.000,2002-02-01 00:00:00.000,0.105,CAD
3130,NULL,NA CN,2001-09-25 00:00:00.000,2001-11-01 00:00:00.000,0.105,CAD
3131,NULL,NA CN,2001-06-26 00:00:00.000,2001-08-01 00:00:00.000,0.105,CAD
3132,NULL,NA CN,2001-03-20 00:00:00.000,2001-05-01 00:00:00.000,0.105,CAD
3133,NULL,NA CN,2000-12-22 00:00:00.000,2001-02-01 00:00:00.000,0.095,CAD
